iter	RMSE
0	2.224322702
1	2.093489675
2	1.983307116
3	1.887853111
4	1.804021432
5	1.729314608
6	1.664019261
7	1.609099568
8	1.559639409
9	1.516045416
10	1.478909163
11	1.447193821
12	1.419850776
13	1.39570967
14	1.375486727
15	1.357323204
16	1.340955502
17	1.327603386
18	1.316105899
19	1.305182209
20	1.295927559
21	1.288047831
22	1.281598606
23	1.275027898
24	1.2686114
25	1.263166674
26	1.258921669
27	1.255173205
28	1.251824394
29	1.248024242
30	1.244775923
31	1.241060197
32	1.237738347
33	1.2355204
34	1.232609069
35	1.230726868
36	1.229132634
37	1.227679251
38	1.225929417
39	1.223907092
40	1.222007899
41	1.219540477
42	1.218422949
43	1.217142694
44	1.216244582
45	1.214945508
46	1.213609959
47	1.21227935
48	1.21161922
49	1.211043759
50	1.209508996
51	1.208352057
52	1.206770281
53	1.205771719
54	1.204459085
55	1.203895983
56	1.203024213
57	1.20243245
58	1.201838254
59	1.200183188
60	1.199263843
61	1.198669364
62	1.197980946
63	1.197149795
64	1.196872811
65	1.195864576
66	1.194805764
67	1.194175022
68	1.193423897
69	1.192765503
70	1.192310399
71	1.191725863
72	1.190878482
73	1.190242349
74	1.189927911
75	1.189249342
76	1.188441492
77	1.187644127
78	1.186930268
79	1.186247346
80	1.185838469
81	1.184857029
82	1.184477795
83	1.183938105
84	1.183188981
85	1.182755691
86	1.182082917
87	1.18137074
88	1.180322504
89	1.17975383
90	1.179024445
91	1.178474232
92	1.177805477
93	1.177192813
94	1.17634881
95	1.176035223
96	1.175260308
97	1.174912759
98	1.174389854
99	1.174048066
100	1.173571019
101	1.173109096
102	1.172727974
103	1.172036335
104	1.171499035
105	1.170737565
106	1.170455597
107	1.169768076
108	1.169239727
109	1.168761734
110	1.168003937
111	1.167681963
112	1.167112652
113	1.166549955
114	1.165973436
115	1.165522605
116	1.164540184
117	1.164001102
118	1.163576658
119	1.163220466
120	1.162793291
121	1.162416834
122	1.161754819
123	1.161194623
124	1.160722069
125	1.160257024
126	1.159940368
127	1.159591451
128	1.159203051
129	1.158776742
130	1.158345273
131	1.15791287
132	1.157601172
133	1.157169563
134	1.156694216
135	1.156304116
136	1.155952876
137	1.155605804
138	1.155291689
139	1.154871892
140	1.154485983
141	1.154065675
142	1.153704224
143	1.153300164
144	1.15300235
145	1.152668122
146	1.152294149
147	1.151944622
148	1.151660496
149	1.151277239
150	1.150899478
151	1.150584059
152	1.150288313
153	1.149749577
154	1.149537725
155	1.149188921
156	1.148744486
157	1.148359043
158	1.147873279
159	1.147514653
160	1.146824547
161	1.146555313
162	1.145988789
163	1.145582998
164	1.145266668
165	1.144949713
166	1.144626935
167	1.144355858
168	1.144168557
169	1.143827606
170	1.143430251
171	1.143150277
172	1.142924686
173	1.142556252
174	1.142313363
175	1.14192934
176	1.141631399
177	1.141023725
178	1.140656308
179	1.140396582
180	1.140176711
181	1.139706887
182	1.139135723
183	1.138836127
184	1.138487365
185	1.138194531
186	1.137971558
187	1.137736202
188	1.137505019
189	1.137185019
190	1.136974904
191	1.13679241
192	1.136480758
193	1.136141866
194	1.135772807
195	1.135569531
196	1.13526587
197	1.134882229
198	1.134673374
199	1.134397383
200	1.134155512
201	1.133898465
202	1.133460077
203	1.133212079
204	1.132944065
205	1.132768711
206	1.13258999
207	1.132255949
208	1.132105989
209	1.131572797
210	1.131067527
211	1.130674414
212	1.130430442
213	1.130124783
