iter	Passed	Remaining
0	29	14476
1	55	13749
2	82	13666
3	108	13507
4	134	13291
5	161	13298
6	198	13979
7	233	14362
8	264	14431
9	298	14617
10	335	14893
11	372	15158
12	405	15188
13	436	15155
14	465	15043
15	493	14936
16	518	14735
17	542	14526
18	567	14355
19	591	14187
20	619	14123
21	648	14081
22	677	14051
23	706	14005
24	731	13899
25	758	13823
26	784	13744
27	809	13646
28	834	13548
29	858	13454
30	883	13359
31	908	13284
32	933	13206
33	957	13127
34	981	13038
35	1005	12965
36	1031	12912
37	1055	12838
38	1080	12766
39	1104	12705
40	1130	12659
41	1155	12600
42	1179	12537
43	1203	12471
44	1228	12421
45	1254	12376
46	1279	12330
47	1304	12287
48	1329	12233
49	1352	12169
50	1376	12121
51	1400	12061
52	1424	12010
53	1448	11961
54	1471	11903
55	1493	11843
56	1517	11793
57	1541	11750
58	1565	11702
59	1590	11660
60	1616	11637
61	1641	11597
62	1664	11544
63	1688	11501
64	1711	11452
65	1734	11407
66	1760	11375
67	1784	11338
68	1814	11334
69	1845	11333
70	1871	11308
71	1898	11286
72	1926	11269
73	1952	11240
74	1976	11202
75	2003	11177
76	2027	11140
77	2054	11114
78	2080	11088
79	2104	11049
80	2128	11010
81	2152	10974
82	2176	10933
83	2202	10910
84	2227	10874
85	2251	10837
86	2278	10815
87	2301	10776
88	2327	10746
89	2352	10715
90	2377	10684
91	2403	10661
92	2429	10633
93	2453	10595
94	2478	10568
95	2505	10544
96	2529	10510
97	2556	10488
98	2583	10466
99	2608	10434
100	2633	10403
101	2657	10370
102	2682	10338
103	2708	10311
104	2735	10292
105	2770	10297
106	2796	10271
107	2821	10241
108	2846	10211
109	2874	10191
110	2901	10166
111	2926	10137
112	2952	10112
113	2979	10089
114	3004	10057
115	3029	10030
116	3055	10003
117	3080	9973
118	3108	9953
119	3133	9923
120	3161	9902
121	3186	9871
122	3211	9842
123	3236	9814
124	3261	9785
125	3290	9766
126	3315	9736
127	3339	9706
128	3365	9678
129	3389	9646
130	3413	9613
131	3438	9585
132	3462	9553
133	3486	9522
134	3511	9494
135	3536	9466
136	3561	9436
137	3586	9408
138	3613	9383
139	3639	9359
140	3664	9331
141	3690	9304
142	3715	9276
143	3741	9249
144	3767	9223
145	3793	9198
146	3818	9169
147	3843	9140
148	3867	9110
149	3891	9079
150	3915	9050
151	3940	9022
152	3965	8993
153	3990	8965
154	4015	8937
155	4039	8908
156	4065	8881
157	4091	8856
158	4117	8830
159	4145	8808
160	4171	8782
161	4196	8755
162	4223	8732
163	4249	8706
164	4273	8676
165	4299	8651
166	4326	8626
167	4352	8600
168	4376	8571
169	4401	8543
170	4428	8520
171	4452	8491
172	4475	8458
173	4499	8429
174	4524	8402
175	4549	8375
176	4575	8349
177	4601	8323
178	4625	8295
179	4657	8280
180	4694	8272
181	4727	8259
182	4765	8255
183	4808	8257
184	4845	8250
185	4871	8224
186	4900	8202
187	4926	8175
188	4951	8146
189	4975	8117
190	5000	8089
191	5024	8059
192	5048	8030
193	5076	8007
194	5103	7982
195	5129	7955
196	5156	7931
197	5184	7907
198	5211	7882
199	5235	7853
200	5261	7826
201	5288	7801
202	5313	7773
203	5339	7747
204	5364	7720
205	5392	7695
206	5417	7668
207	5442	7639
208	5466	7611
209	5494	7587
210	5521	7561
211	5544	7532
212	5570	7505
213	5596	7478
214	5621	7451
215	5645	7422
216	5670	7395
217	5696	7368
218	5720	7340
219	5744	7311
220	5770	7284
221	5795	7257
222	5820	7230
223	5845	7202
224	5870	7175
225	5896	7148
226	5921	7121
227	5947	7095
228	5973	7068
229	5999	7042
230	6026	7018
231	6053	6993
232	6077	6964
233	6103	6937
234	6127	6910
235	6151	6881
236	6176	6854
237	6200	6826
238	6225	6798
239	6252	6773
240	6275	6744
241	6299	6716
242	6325	6689
243	6353	6666
244	6379	6639
245	6402	6611
