iter	RMSE
0	1.832265069
1	1.672745987
2	1.530706922
3	1.402253169
4	1.289060596
5	1.187081974
6	1.09627847
7	1.016348515
8	0.9453901231
9	0.8829703427
10	0.8272805864
11	0.7784741908
12	0.7363439126
13	0.6996148817
14	0.6675166868
15	0.6397071052
16	0.6161081215
17	0.5961105791
18	0.5784103834
19	0.5638869171
20	0.551364713
21	0.5407009662
22	0.531664692
23	0.5241011693
24	0.5177645442
25	0.5123348977
26	0.5078311808
27	0.5038824833
28	0.5006525055
29	0.4979029636
30	0.4956083279
31	0.4936560477
32	0.4921179415
33	0.4907564275
34	0.4896070861
35	0.4886288023
36	0.4877768012
37	0.4870633618
38	0.4864430093
39	0.4858622293
40	0.4853811124
41	0.4849861875
42	0.484638219
43	0.4842237748
44	0.4839566175
45	0.4836351049
46	0.4833452944
47	0.4831274579
48	0.4829094737
49	0.4827109161
50	0.4825114307
51	0.4823305571
52	0.4821531481
53	0.4820275866
54	0.4818840946
55	0.481771541
56	0.481672293
57	0.481576406
58	0.4814602602
59	0.48134483
60	0.4812474463
61	0.481131809
62	0.4810520567
63	0.4809373777
64	0.4808655943
65	0.4807876846
66	0.4806805558
67	0.4806034539
68	0.4805220188
69	0.4804419193
70	0.4803528985
71	0.4802485809
72	0.4801733249
73	0.480106903
74	0.4799986136
75	0.4799270506
76	0.479891126
77	0.4798349529
78	0.4797819281
79	0.4797188745
80	0.4796638805
81	0.4795811221
82	0.4795073284
83	0.4794363569
84	0.4793756067
85	0.4793127531
86	0.479266827
87	0.4791970814
88	0.4791591717
89	0.4790895929
90	0.4790023289
91	0.4789498175
92	0.4788686575
93	0.4788001646
94	0.4787254389
95	0.4786583261
96	0.4786046361
97	0.4785554525
98	0.4784971246
99	0.478439163
100	0.4784030192
101	0.4783460286
102	0.4782678027
103	0.4782037646
104	0.4781556132
105	0.4780944724
106	0.4780409704
107	0.4780135159
108	0.4779647683
109	0.4779069326
110	0.4778423535
111	0.4777659152
112	0.4777207492
113	0.4776865302
114	0.4776369818
115	0.4775805405
116	0.477544352
117	0.4774782928
118	0.4774208468
119	0.4773599941
120	0.4773048816
121	0.4772380936
122	0.4771814397
123	0.4771075819
124	0.4770615008
125	0.4770179984
126	0.476961795
127	0.4769010385
128	0.4768530303
129	0.4768136213
130	0.4767886618
131	0.47672596
132	0.4766798196
133	0.476625947
134	0.4766080688
135	0.476565366
136	0.476520775
137	0.4764695888
138	0.4764280811
139	0.4763830111
140	0.4763507278
141	0.476324166
142	0.4762829833
143	0.4762470789
144	0.4761942428
145	0.4761369282
146	0.4760804233
147	0.4760331982
148	0.4759850053
149	0.4759342932
150	0.4759144993
151	0.4758599125
152	0.4758127587
153	0.4757870432
154	0.4757334504
155	0.4756924768
156	0.4756502347
157	0.4755937042
158	0.4755553212
159	0.4755067119
160	0.4754707852
161	0.4754599314
162	0.4754170249
163	0.4754010327
164	0.4753606563
165	0.4753157796
166	0.4752748031
167	0.4752363875
168	0.4752014369
169	0.4751620501
170	0.4751271098
171	0.4750829903
172	0.475034425
173	0.4749973385
174	0.4749491264
175	0.4749207303
176	0.4748848068
177	0.4748482522
178	0.4748084579
179	0.4747608571
180	0.4747230701
181	0.4746823972
182	0.4746730854
183	0.4746144379
184	0.4745650533
185	0.4745427145
186	0.4745099868
187	0.4744623222
188	0.4744374623
189	0.4743959982
190	0.4743597973
191	0.4743428707
192	0.4743047013
193	0.4742665314
194	0.4742324158
195	0.4741970402
196	0.4741641311
197	0.474134712
198	0.4741006556
199	0.4740684394
