iter	RMSE
0	2.215541697
1	2.090520911
2	1.98347629
3	1.890865442
4	1.81382813
5	1.740616462
6	1.676557851
7	1.623162727
8	1.574419706
9	1.533190735
10	1.497656988
11	1.466079014
12	1.439033321
13	1.417827265
14	1.398237815
15	1.379389741
16	1.363502413
17	1.349937224
18	1.338469996
19	1.327273244
20	1.318507819
21	1.309743482
22	1.302758285
23	1.295500376
24	1.290271267
25	1.284940016
26	1.280344069
27	1.275098244
28	1.270984495
29	1.266983109
30	1.262642174
31	1.259324999
32	1.256165208
33	1.253559323
34	1.251707803
35	1.249815946
36	1.247780532
37	1.246094526
38	1.244156307
39	1.242574197
40	1.240633402
41	1.238347201
42	1.237442442
43	1.236146475
44	1.235152584
45	1.234244314
46	1.233615809
47	1.232104884
48	1.230719206
49	1.229863978
50	1.227960803
51	1.227183293
52	1.225985394
53	1.224291838
54	1.223114121
55	1.222392383
56	1.220786226
57	1.21968171
58	1.219152395
59	1.218387434
60	1.216778553
61	1.216375893
62	1.215963679
63	1.215739452
64	1.21534305
65	1.214903431
66	1.213873563
67	1.212794636
68	1.211521778
69	1.210832339
70	1.209625251
71	1.208728802
72	1.207792393
73	1.206855439
74	1.206294517
75	1.205030494
76	1.204314617
77	1.203488932
78	1.20311964
79	1.202556314
80	1.201812635
81	1.201043949
82	1.200616498
83	1.200158211
84	1.199597006
85	1.199133271
86	1.198482702
87	1.198050883
88	1.197321894
89	1.196796229
90	1.196281553
91	1.195805358
92	1.195413332
93	1.194716828
94	1.19428182
95	1.193652554
96	1.193346348
97	1.192724215
98	1.192479373
99	1.19207204
100	1.19145131
101	1.190420942
102	1.189808387
103	1.189203099
104	1.188636665
105	1.188096441
106	1.187726962
107	1.186929951
108	1.186092098
109	1.185629626
110	1.18503943
111	1.184640404
112	1.184233896
113	1.183645914
114	1.183313857
115	1.182869953
116	1.18253436
117	1.182217524
118	1.181684869
119	1.181262463
120	1.180427735
121	1.180054105
122	1.179548416
123	1.179042052
124	1.178601886
125	1.178279001
126	1.177787712
127	1.177176149
128	1.17655189
129	1.176167831
130	1.17549112
131	1.174895296
132	1.1745484
133	1.174154259
134	1.173671169
135	1.173367856
136	1.173061679
137	1.172734475
138	1.172375636
139	1.172019523
140	1.171277436
141	1.170807348
142	1.170496604
143	1.170159465
144	1.169910441
145	1.169417506
146	1.168733065
147	1.168231871
148	1.167764815
149	1.167413543
150	1.16706459
151	1.166421571
152	1.166065409
153	1.165713435
154	1.165067367
155	1.164784977
156	1.164513019
157	1.164096791
158	1.163796224
159	1.163529772
160	1.16304001
161	1.162585191
162	1.162168896
163	1.16162699
164	1.161328609
165	1.161026049
166	1.160685847
167	1.160408219
168	1.16021754
169	1.159583609
170	1.159254339
171	1.158991293
172	1.158630204
173	1.158163985
174	1.157938043
175	1.157440873
176	1.157137759
177	1.156938751
178	1.156700004
179	1.156429337
180	1.15619788
181	1.155763197
182	1.155525388
183	1.15523079
184	1.154876378
185	1.154717179
186	1.154364914
187	1.154151744
188	1.153878887
189	1.153671789
190	1.15333919
191	1.152989466
192	1.152511625
193	1.151764002
194	1.15148014
195	1.151263829
196	1.150842632
197	1.150445227
198	1.149968379
199	1.149666951
