iter	Passed	Remaining
0	4	926
1	8	872
2	12	837
3	16	814
4	20	800
5	24	788
6	28	780
7	32	772
8	35	762
9	39	755
10	43	747
11	47	740
12	51	734
13	54	728
14	58	726
15	63	724
16	67	721
17	71	718
18	75	719
19	79	716
20	83	711
21	87	708
22	91	704
23	95	700
24	99	695
25	103	690
26	107	686
27	111	683
28	115	678
29	118	673
30	122	669
31	126	665
32	130	661
33	134	657
34	138	653
35	142	650
36	146	645
37	150	642
38	154	639
39	158	634
40	162	630
41	166	626
42	170	621
43	173	616
44	177	612
45	181	607
46	185	602
47	189	598
48	193	596
49	197	593
50	202	591
51	206	587
52	210	585
53	215	582
54	220	580
55	224	576
56	228	572
57	231	567
58	235	563
59	239	558
60	243	554
61	247	550
62	250	545
63	254	541
64	258	536
65	262	531
66	266	528
67	269	524
68	273	519
69	277	515
70	281	511
71	285	507
72	289	503
73	293	499
74	297	495
75	301	491
76	305	487
77	308	483
78	312	478
79	316	474
80	320	470
81	323	466
82	327	462
83	331	457
84	335	453
85	339	449
86	342	445
87	346	441
88	350	437
89	354	433
90	359	430
91	363	427
92	368	423
93	373	421
94	377	417
95	382	414
96	387	411
97	392	408
98	396	404
99	401	401
100	405	397
101	409	393
102	414	390
103	418	386
104	422	382
105	426	378
106	430	374
107	435	370
108	439	367
109	443	363
110	448	359
111	452	355
112	456	351
113	460	347
114	464	343
115	469	339
116	473	336
117	477	331
118	481	328
119	486	324
120	490	320
121	495	316
122	499	312
123	503	308
124	507	304
125	511	300
126	515	296
127	520	292
128	524	288
129	528	284
130	533	280
131	537	276
132	541	272
133	545	268
134	549	264
135	554	260
136	558	256
137	562	252
138	567	249
139	571	245
140	576	241
141	580	237
142	584	232
143	588	228
144	592	224
145	596	220
146	601	216
147	605	212
148	609	208
149	613	204
150	617	200
151	622	196
152	626	192
153	630	188
154	634	184
155	639	180
156	643	176
157	647	172
158	651	168
159	656	164
160	660	160
161	664	155
162	668	151
163	673	147
164	677	143
165	681	139
166	685	135
167	689	131
168	693	127
169	698	123
170	702	119
171	706	115
172	710	110
173	715	106
174	719	102
175	723	98
176	728	94
177	732	90
178	736	86
179	740	82
180	745	78
181	752	74
182	757	70
183	761	66
184	765	62
185	769	57
186	774	53
187	778	49
188	782	45
189	787	41
190	791	37
191	795	33
192	800	29
193	804	24
194	809	20
195	814	16
196	819	12
197	823	8
198	827	4
199	832	0
