iter	Passed	Remaining
0	18	3692
1	35	3548
2	54	3581
3	73	3599
4	91	3583
5	110	3580
6	129	3567
7	147	3535
8	165	3509
9	183	3487
10	201	3469
11	220	3451
12	238	3430
13	256	3402
14	274	3384
15	291	3353
16	310	3343
17	329	3329
18	346	3304
19	364	3280
20	381	3248
21	397	3217
22	414	3190
23	434	3183
24	451	3160
25	469	3143
26	486	3114
27	502	3088
28	519	3064
29	535	3034
30	551	3007
31	570	2992
32	586	2965
33	603	2945
34	619	2918
35	634	2892
36	652	2872
37	667	2846
38	683	2820
39	699	2798
40	717	2780
41	732	2757
42	749	2734
43	767	2721
44	783	2700
45	802	2685
46	820	2672
47	837	2651
48	854	2632
49	871	2613
50	890	2601
51	908	2585
52	924	2564
53	939	2539
54	955	2520
55	971	2497
56	987	2477
57	1002	2454
58	1018	2433
59	1035	2417
60	1050	2393
61	1068	2378
62	1085	2360
63	1103	2344
64	1117	2321
65	1134	2303
66	1154	2291
67	1177	2285
68	1194	2267
69	1209	2245
70	1227	2230
71	1243	2210
72	1260	2192
73	1278	2176
74	1296	2160
75	1311	2140
76	1325	2117
77	1340	2096
78	1356	2077
79	1374	2061
80	1390	2043
81	1408	2027
82	1426	2010
83	1442	1992
84	1461	1976
85	1478	1960
86	1492	1939
87	1510	1922
88	1524	1901
89	1543	1885
90	1559	1868
91	1574	1847
92	1590	1830
93	1608	1814
94	1624	1795
95	1642	1779
96	1658	1761
97	1673	1741
98	1690	1724
99	1708	1708
100	1725	1691
101	1742	1674
102	1760	1658
103	1778	1641
104	1797	1626
105	1817	1611
106	1833	1593
107	1847	1573
108	1864	1556
109	1881	1539
110	1897	1521
111	1918	1507
112	1935	1489
113	1951	1472
114	1970	1456
115	1988	1440
116	2005	1422
117	2025	1407
118	2042	1390
119	2061	1374
120	2080	1358
121	2100	1343
122	2118	1326
123	2134	1308
124	2153	1291
125	2170	1274
126	2187	1257
127	2203	1239
128	2219	1221
129	2238	1205
130	2251	1186
131	2271	1170
132	2289	1153
133	2307	1136
134	2321	1117
135	2340	1101
136	2357	1084
137	2372	1065
138	2389	1048
139	2404	1030
140	2417	1011
141	2431	993
142	2445	974
143	2460	956
144	2480	941
145	2497	923
146	2516	907
147	2534	890
148	2550	873
149	2568	856
150	2582	837
151	2598	820
152	2613	802
153	2627	784
154	2645	768
155	2665	751
156	2683	735
157	2702	718
158	2717	700
159	2738	684
160	2755	667
161	2768	649
162	2787	632
163	2800	614
164	2818	597
165	2838	581
166	2852	563
167	2868	546
168	2883	528
169	2901	511
170	2917	494
171	2932	477
172	2952	460
173	2971	444
174	2992	427
175	3007	410
176	3022	392
177	3039	375
178	3058	358
179	3076	341
180	3093	324
181	3111	307
182	3124	290
183	3141	273
184	3160	256
185	3174	238
186	3189	221
187	3208	204
188	3225	187
189	3245	170
190	3262	153
191	3276	136
192	3295	119
193	3312	102
194	3330	85
195	3348	68
196	3365	51
197	3381	34
198	3400	17
199	3418	0
