iter	Passed	Remaining
0	206	61681
1	243	36249
2	287	28417
3	355	26284
4	415	24490
5	464	22749
6	538	22539
7	623	22761
8	710	22963
9	798	23145
10	868	22805
11	923	22153
12	1004	22166113	1068	21827114	1132	21516115	1201	21321116	1267	21093117	1323	20736118	1380	20415119	1448	20279220	1522	20232221	1596	20178222	1684	20281223	1754	20172224	1812	19940225	1877	19788
26	1941	19631
27	2020	19627
28	2090	19534
29	2156	19407
30	2214	19211
31	2269	19004
32	2318	18757
33	2373	18570
34	2431	18407
35	2487	18244
36	2545	18095
37	2610	18001338	2676	17910339	2737	17795440	2795	17662441	2862	17583442	2937	17558
43	3009	17511
44	3099	17564
45	3197	17654
46	3281	17663
47	3363	17657
48	3454	17694
49	3513	17569
50	3574	17450
51	3642	17371
52	3712	17303
53	3794	17287
54	3852	17163
55	3931	17130
56	3993	17023
57	4054	16918
58	4131	16875
59	4204	16816
60	4272	16740
61	4343	16673
62	4420	16631
63	4490	16557
64	4570	16525
65	4648	16481
66	4729	16445
67	4793	16353
68	4858	16264
69	4922	16173
70	4989	16094
71	5059	16022
72	5130	15954
73	5208	15907
74	5259	15779
75	5311	15653
76	5362	15530
77	5419	15424
78	5491	15361
79	5551	15266
80	5618	15191
81	5720	15208
82	5880	15374
83	5970	15353
84	6054	15314
85	6276	15618
86	6410	15694
87	6518	15702
88	6605	15659
89	6686	15601
90	6759	15523
91	6821	15422
92	6896	15351
93	6964	15262
94	7036	15183
95	7100	15087
96	7160	14986
97	7230	14902
98	7301	14823
99	7384	14769
100	7456	14691
101	7533	14623
102	7614	14563
103	7672	14460
104	7744	14382
105	7817	14308
106	7873	14200
107	7934	14105
108	7987	13996
109	8070	13939
110	8136	13854
111	8205	13773
112	8273	13691
113	8333	13597
114	8399	13511
115	8512	13502
116	8578	13417
117	8646	13335
118	8714	13254
119	8775	13162
120	8829	13061
121	8895	12979
122	8940	12865
123	8982	12749
124	9017	1125	9125	9064	1126	9126	9117	1127	9127	9180	1128	9128	9224	1129	9276	12130
130	9346	12057
131	9420	11989
132	9471	11892
133	9513	11785
134	9555	11678
135	9605	11583
136	9658	11492
137	9710	11399
138	9777	11324
139	9845	11251
140	9901	11165
141	9955	11077
142	10039	11022
143	10106	10948
144	10160	10860
145	10214	10774
146	10265	10684
147	10317	10596
148	10383	10522
149	10435	10435
150	10482	10343
151	10530	10253
152	10581	10166
153	10628	10076
154	10685	9996
155	10730	9905
156	10778	9817
157	10829	9732
158	10870	9640
159	10915	9551
160	10960	9462
161	11004	9374
162	11050	9287
163	11090	9196
164	11132	9108
165	11176	9021
166	11217	8933
167	11260	8847
168	11306	8764
169	11357	8685
170	11409	8607
171	11460	8528
172	11507	8447
173	11564	8374
174	11614	8295
175	11670	8222
176	11717	8142
177	11765	8064
178	11821	7991
179	11866	7910
180	11915	7833
181	11961	7755
182	12008	7677
183	12049	7596
184	12091	7516
185	12128	7433
186	12167	7352
187	12212	7275
188	12268	7205
189	12332	7139
190	12373	7061
191	12413	6982
192	12447	6901
193	12484	6821
194	12518	6740
195	12557	6663
196	12596	6586
197	12632	6507
198	12672	6431
199	12720	6360
200	12767	6288
201	12808	6213
202	12854	6142
203	12901	6071
204	12946	5999
205	12994	5929
206	13040	5858
207	13091	5790
208	13132	5718
209	13178	5647
210	13223	5577
211	13260	5504
212	13289	5428
213	13326	5355
214	13362	5282
215	13409	5214
216	13466	5150
217	13519	5085
218	13562	5016
219	13608	4948
220	13651	4880
221	13693	4811
222	13736	4743
223	13777	4674
224	13810	4603
225	13852	4535
226	13895	4468
227	13935	4400
228	13973	4332
229	14013	4264
230	14048	4196
231	14088	4129
232	14132	4063
233	14166	3995
234	14199	3927
235	14232	3859
236	14270	3793
237	14314	3729
238	14355	3663
239	14405	3601
240	14449	3537
241	14492	3473
242	14531	3408
243	14573	3344
244	14609	3279
245	14644	3214
246	14687	3151
247	14727	3088
248	14769	3024
249	14809	2961
250	14845	2898
251	14882	2834
252	14925	2772
253	14965	2710
254	15003	2647
255	15047	2586
256	15091	2524
257	15132	2463
258	15175	2402
259	15212	2340
260	15254	2279
261	15296	2218
262	15332	2157
263	15367	2095
264	15407	2034
265	15456	1975
266	15497	1915
267	15547	1856
268	15590	1796
269	15630	1736
270	15672	1677
271	15713	1617
272	15755	1558
273	15794	1498
274	15828	1438
275	15855	1378
276	15885	1319
277	15916	1259
278	15943	1200
279	15969	1140
280	15998	1081
281	16026	1022
282	16054	964
283	16081	906
284	16109	847
285	16128	789
286	16147	731
287	16172	673
288	16199	616
289	16221	559
290	16239	502
291	16257	445
292	16275	388
293	16300	332
294	16319	276
295	16336	220
296	16356	165
297	16374	109
298	16393	54
299	16411	0
